name,latitude,longitude
Tallinn,59.43696,24.75353
Tartu,58.38062,26.72509
Narva,59.37722,28.19028
Pärnu,58.38588,24.49711
Kohtla-Järve,59.39861,27.27306
Viljandi,58.36389,25.59
Maardu,59.46529,24.98215
Rakvere,59.34639,26.35583
Kuressaare,58.24806,22.50389
Sillamäe,59.39697,27.76331
Valga,57.77781,26.0473
Võru,57.83389,27.01944
Jõhvi,59.35917,27.42111
Keila,59.30361,24.41306
Haapsalu,58.94306,23.54139
Paide,58.88556,25.55722
Saue,59.32258,24.54967
Elva,58.2225,26.42111
Tapa,59.26056,25.95861
Põlva,58.06028,27.06944
Türi,58.80861,25.4325
Rapla,59.00722,24.79278
Jõgeva,58.74667,26.39389
Kiviõli,59.35306,26.97111
Põltsamaa,58.6525,25.97056
Sindi,58.40056,24.6675
Paldiski,59.35667,24.05306
Kärdla,58.99778,22.74917
Kunda,59.49861,26.52611
Tõrva,58.00278,25.935
Narva-Jõesuu,59.45889,28.04083
Kehra,59.33611,25.32111
Loksa,59.57639,25.72139
Otepää,58.05833,26.49667
Räpina,58.09806,27.46361
Tamsalu,59.15861,26.11528
Kilingi-Nõmme,58.15028,24.96417
Karksi-Nuia,58.10333,25.56278
Võhma,58.62833,25.54833
Antsla,57.82556,26.54056
Lihula,58.68139,23.84528
Mustvee,58.84861,26.93972
Suure-Jaani,58.53611,25.47056
Abja-Paluoja,58.12528,25.34972
Püssi,59.36,27.04972
Mõisaküla,58.09222,25.18639
Kallaste,58.66312,27.16164
